2020-04-26 14:04:646 INFO  LoginPage :40 - enter email[[ChromeDriver: chrome on WINDOWS (b08318542473324251616ac0d8bebbb7)] -> id: username-input]
2020-04-26 14:04:754 INFO  LoginPage :46 - enter password[[ChromeDriver: chrome on WINDOWS (b08318542473324251616ac0d8bebbb7)] -> id: password-input]
2020-04-26 14:04:243 INFO  LoginPage :52 -  Clicking on Login Button[[ChromeDriver: chrome on WINDOWS (b08318542473324251616ac0d8bebbb7)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-26 14:04:276 INFO  LoginPage :57 - Get Error message text [[ChromeDriver: chrome on WINDOWS (b08318542473324251616ac0d8bebbb7)] -> xpath: //span[@id='password.errors']]
2020-04-26 14:04:949 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:547 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (ed946ce497a838941308b7aeacb9bfb1)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:280 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (ed946ce497a838941308b7aeacb9bfb1)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 14:04:941 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:126 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (3ce8da7a2e1e173aba8905f3e7732afe)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:772 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (3ce8da7a2e1e173aba8905f3e7732afe)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 14:04:986 INFO  ServicePage :33 -  Clicking on close link[[ChromeDriver: chrome on WINDOWS (3ce8da7a2e1e173aba8905f3e7732afe)] -> xpath: //span[@class='button__text'][contains(text(),'Close')]]
2020-04-26 14:04:18 INFO  HomePage :36 - Get text from services button[[ChromeDriver: chrome on WINDOWS (3ce8da7a2e1e173aba8905f3e7732afe)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:503 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:908 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 14:04:930 INFO  LoginPage :33 - Get Welcome Guest text [[ChromeDriver: chrome on WINDOWS (d3073e9ce4a43b5a5538fe78c2c3b194)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 14:04:557 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:518 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 14:04:622 INFO  LoginPage :40 - enter email[[ChromeDriver: chrome on WINDOWS (017672a2b8f4e85c17796ca48d604269)] -> id: username-input]
2020-04-26 14:04:705 INFO  LoginPage :46 - enter password[[ChromeDriver: chrome on WINDOWS (017672a2b8f4e85c17796ca48d604269)] -> id: password-input]
2020-04-26 14:04:96 INFO  LoginPage :52 -  Clicking on Login Button[[ChromeDriver: chrome on WINDOWS (017672a2b8f4e85c17796ca48d604269)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-26 14:04:117 INFO  LoginPage :57 - Get Error message text [[ChromeDriver: chrome on WINDOWS (017672a2b8f4e85c17796ca48d604269)] -> xpath: //span[@id='password.errors']]
2020-04-26 14:04:729 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:495 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (d44d7fe0c7ba4b93bf6505926ae3c9c0)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:149 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (d44d7fe0c7ba4b93bf6505926ae3c9c0)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 14:04:766 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:953 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (6134f11ffc4eb250af0cae2877779d46)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:555 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (6134f11ffc4eb250af0cae2877779d46)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 14:04:711 INFO  ServicePage :33 -  Clicking on close link[[ChromeDriver: chrome on WINDOWS (6134f11ffc4eb250af0cae2877779d46)] -> xpath: //span[@class='button__text'][contains(text(),'Close')]]
2020-04-26 14:04:736 INFO  HomePage :36 - Get text from services button[[ChromeDriver: chrome on WINDOWS (6134f11ffc4eb250af0cae2877779d46)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 15:04:332 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 15:04:801 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 15:04:823 INFO  LoginPage :33 - Get Welcome Guest text [[ChromeDriver: chrome on WINDOWS (5e3577f93a94ca99071a844c34b804f8)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 15:04:452 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 15:04:895 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 15:04:996 INFO  LoginPage :40 - enter email[[ChromeDriver: chrome on WINDOWS (e9dc9ce84d5e49ddb3a26575d83881db)] -> id: username-input]
2020-04-26 15:04:80 INFO  LoginPage :46 - enter password[[ChromeDriver: chrome on WINDOWS (e9dc9ce84d5e49ddb3a26575d83881db)] -> id: password-input]
2020-04-26 15:04:436 INFO  LoginPage :52 -  Clicking on Login Button[[ChromeDriver: chrome on WINDOWS (e9dc9ce84d5e49ddb3a26575d83881db)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-26 15:04:457 INFO  LoginPage :57 - Get Error message text [[ChromeDriver: chrome on WINDOWS (e9dc9ce84d5e49ddb3a26575d83881db)] -> xpath: //span[@id='password.errors']]
2020-04-26 15:04:93 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 15:04:693 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (218d6798686843cc70035ff7de3563c7)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 15:04:351 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (218d6798686843cc70035ff7de3563c7)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 15:04:971 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 15:04:376 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (35a4115a39092130e9f8489801305fa0)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 15:04:968 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (35a4115a39092130e9f8489801305fa0)] -> xpath: //a[@id='js-menu-first-item']]
